,city_number,resources_remaining,severity,resources_allocated,resources_effectively_allocated,damage
135,1.0,40.0,5.0,7.297743797302246,7.297743797302246,0.1618046760559082
136,2.0,32.70225524902344,6.0,8.838871955871582,8.838871955871582,2.0584816932678223
137,3.0,23.863384246826172,4.0,6.873570442199707,6.873570442199707,4.109053611755371
138,4.0,16.98981475830078,5.0,8.588120460510254,8.588120460510254,8.391429901123047
139,1.0,40.0,8.0,9.170208930969238,9.170208930969238,0.0
140,2.0,30.829792022705078,8.0,9.183174133300781,9.183174133300781,0.4168262481689453
141,3.0,21.646617889404297,2.0,5.6712541580200195,5.6712541580200195,0.4168262481689453
142,4.0,15.975363731384277,3.0,6.161101341247559,6.161101341247559,0.4168262481689453
143,5.0,9.814262390136719,2.0,5.721146583557129,5.721146583557129,0.5283677577972412
144,6.0,4.09311580657959,5.0,8.831501960754395,4.09311580657959,5.709744453430176
145,1.0,40.0,2.0,5.5321855545043945,5.5321855545043945,0.0
146,2.0,34.46781539916992,5.0,7.4003987312316895,7.4003987312316895,0.0
147,3.0,27.06741714477539,6.0,8.879745483398438,8.879745483398438,0.09620380401611328
148,4.0,18.187671661376953,3.0,5.980603218078613,5.980603218078613,0.10784220695495605
149,5.0,12.20706844329834,6.0,9.06511116027832,9.06511116027832,3.681797981262207
150,6.0,3.1419572830200195,6.0,9.132104873657227,3.1419572830200195,10.253406524658203
151,1.0,40.0,2.0,5.533140182495117,5.533140182495117,0.0
152,2.0,34.46685791015625,5.0,7.4132280349731445,7.4132280349731445,0.06941747665405273
153,3.0,27.053630828857422,3.0,5.774735450744629,5.774735450744629,0.2045762538909912
154,4.0,21.27889633178711,4.0,6.503510475158691,6.503510475158691,2.403172254562378
155,5.0,14.775385856628418,3.0,5.871898651123047,5.871898651123047,4.828792572021484
156,1.0,40.0,6.0,8.68889045715332,8.68889045715332,0.0
157,2.0,31.31110954284668,5.0,8.032504081726074,8.032504081726074,0.0
158,3.0,23.278606414794922,3.0,5.995082855224609,5.995082855224609,0.0
159,4.0,17.283523559570312,5.0,8.576911926269531,8.576911926269531,0.8538527488708496
160,5.0,8.706611633300781,7.0,9.180744171142578,8.706611633300781,5.7712082862854
161,6.0,0.0,4.0,8.40960693359375,0.0,10.571208953857422
162,1.0,40.0,3.0,5.687173843383789,5.687173843383789,0.0
163,2.0,34.312828063964844,4.0,6.20708703994751,6.20708703994751,0.0
164,3.0,28.105741500854492,8.0,9.178924560546875,9.178924560546875,0.0
165,4.0,18.926816940307617,8.0,9.188349723815918,9.188349723815918,0.4116506576538086
166,5.0,9.7384672164917,6.0,9.116376876831055,9.116376876831055,0.4116506576538086
167,6.0,0.6220903396606445,8.0,9.196215629577637,0.6220903396606445,9.638397216796875
168,7.0,0.0,7.0,9.175945281982422,0.0,18.03839874267578
169,8.0,0.0,4.0,6.600881576538086,0.0,22.838397979736328
170,1.0,40.0,2.0,5.537128925323486,5.537128925323486,0.0
171,2.0,34.46287155151367,6.0,8.734458923339844,8.734458923339844,0.0
172,3.0,25.728412628173828,5.0,8.120361328125,8.120361328125,0.0
173,4.0,17.608051300048828,4.0,7.118954658508301,7.118954658508301,0.0
174,5.0,10.489096641540527,3.0,6.211207389831543,6.211207389831543,0.0
175,6.0,4.277889251708984,4.0,7.684285640716553,4.277889251708984,3.0888442993164062
176,7.0,0.0,5.0,8.757013320922852,0.0,9.088844299316406
177,1.0,40.0,3.0,5.688180923461914,5.688180923461914,0.18709158897399902
178,2.0,34.31182098388672,4.0,6.211208343505859,6.211208343505859,2.502608299255371
179,3.0,28.10061264038086,5.0,7.685184001922607,7.685184001922607,6.965571403503418
180,1.0,40.0,5.0,7.395381450653076,7.395381450653076,0.0
181,2.0,32.604618072509766,6.0,8.875497817993164,8.875497817993164,0.0
182,3.0,23.7291202545166,4.0,6.953487396240234,6.953487396240234,0.0
183,4.0,16.775632858276367,5.0,8.641606330871582,8.641606330871582,0.0
184,5.0,8.134026527404785,8.0,9.194210052490234,8.134026527404785,4.7195844650268555
185,6.0,0.0,8.0,9.195961952209473,0.0,14.319584846496582
186,7.0,0.0,2.0,5.708024024963379,0.0,16.719585418701172
187,1.0,40.0,3.0,5.686206340789795,5.686206340789795,0.0
188,2.0,34.31379318237305,2.0,5.540197372436523,5.540197372436523,0.0
189,3.0,28.773595809936523,5.0,7.548508644104004,7.548508644104004,2.9805965423583984
190,4.0,21.225086212158203,2.0,5.574756145477295,5.574756145477295,4.265645503997803
191,1.0,40.0,5.0,7.377062797546387,7.377062797546387,0.0
192,2.0,32.6229362487793,6.0,8.86782169342041,8.86782169342041,0.0
193,3.0,23.755115509033203,3.0,5.9622039794921875,5.9622039794921875,0.0
